# Filename: /home/SILVER/c44774a/da_unified_rules_engine/un_re/resources/cfg_rules_exceptions.lst
#
# Rules can have exceptions for a Project, Table or Column by specifying one of
# those labels in the Exception Level field.
# 
# The object name varies depending on the Exception Level
# If the Exception Level is Project,
#       then the Object Name is compared to the current project name.
# If the Exception Level is Table,
#       then the Object Name is compared to the current table name.
# If the Exception Level is Column,
#       then the Object Name is compared to the current column name.
# 
# To specify a wildcard, specify ALL
# 
# To turn a rule off for all Projects, all Tables or all Columns, then
#       simply remove that rule from the rules.lst file
# 
# The Comment column is not used by the Rules Engine, nevertheless, it does
# come in handy to document the reason each exception is made.
#
# rule_id | project_nm       | table_nm                                     | column_nm                      | exp_yyyymmdd_dt     | comment_txt                    
# ------- | ---------------- | -------------------------------------------- | ------------------------------ | ------------------- | -------------------------------
ALL       | ALL              | CUST_INTGRD_DTL_INCRMTL_SV                   | ALL                            | 20231015            | For Nithin Odungattu           
r427      | ALL              | ALL                                          | PG_DESC                        | None                | For Glenn Decarolis            
r427      | ALL              | CDC_PROV_PROF_SV                             | ALL                            | None                | For Judy Auger                 
r427      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r428      | ALL              | CDC_PROV_PROF_SV                             | ALL                            | None                | For Judy Auger                 
r428      | ALL              | NON_CLM_PAYMT_CUST_DTL_BKP07272023           | ALL                            | 20230826            | For Viral Shah                 
r428      | CBH_CLINICAL     | CBHCLINICAL_INGESTION_DEPENDENCY_MATRIX_INCR | JOB_EXEC_ID                    | None                | for M. Krishnasamy             
r428      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r428      | HEALTHPLAN_RPT   | GRPR_OP_CLM_STG_ERR                          | ALL                            | None                | for Arjun Viswanathan          
r428      | HEALTHPLAN_RPT   | GRPR_OP_CLM_STG_FIX                          | ALL                            | None                | for Arjun Viswanathan          
r428      | HEALTHPLAN_RPT   | GRPR_OP_CLM_STG                              | ALL                            | None                | for Arjun Viswanathan          
r428      | HEALTHPLAN_RPT   | STG_GRPR_OP_CLM_STG_FALLOUT                  | ALL                            | None                | for Arjun Viswanathan          
r429      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r429      | HEALTHPLAN_RPT   | STG_TRUVEN_OUTPA_FINAL                       | ALL                            | None                | for Arjun Viswanathan          
r429      | HEALTHPLAN_RPT   | STG_TRUVEN_PROFL_REPRICER                    | ALL                            | None                | for Arjun Viswanathan          
r429      | PRODUCER_360     | ALL                                          | OPPOR_DIR_IND                  | 20220501            | for Sushant Shekher            
r430      | CBH_CLINICAL     | ALL                                          | CRET_BY_USR_KEY                | None                | for M. Krishnasamy             
r430      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r431      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r432      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r433      | ALL              | CCW_LOAD_CTL_STATS_HIST                      | TRGT_SCHEMA_NM                 | None                | for Manoj Krup                 
r433      | ALL              | CCW_LOAD_CTL_STATS_HIST                      | TRGT_TBLNM                     | None                | for Manoj Krup                 
r433      | ALL              | CDC_PROV_PROF_SV                             | ALL                            | None                | For Judy Auger                 
r433      | ALL              | CLIENT_BEN_SVC_INTGRD_SV                     | BEN_PLAN_NM                    | None                | for Jenna Shannon              
r433      | ALL              | CLIENT_BEN_SVC_INTGRD_SV                     | PRODT_CTGRY_NM                 | None                | for Jenna Shannon              
r433      | ALL              | CUST_INTGRD_DTL_INCRMTL_SV                   | ALL                            | 20230825            | For Nithin Odungattu           
r433      | CBH_CLINICAL     | ALL                                          | ASSMT_NM                       | None                | for M. Krishnasamy             
r433      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r434      | ALL              | CDC_PROV_PROF_SV                             | ALL                            | None                | For Judy Auger                 
r434      | ALL              | MBR_MTH_COMPRS_CURR                          | ALL                            | None                | For Piyush Bhalerao            
r434      | ALL              | MBR_MTH_DTL_CURR                             | ALL                            | None                | For Piyush Bhalerao            
r434      | EVAL             | ALL                                          | TEL_EXT_NUM                    | None                | For Judy Auger                 
r434      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r434      | PROVIDER         | ALL                                          | TEL_EXT_NUM                    | None                | For Judy Auger                 
r435      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r436      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r437      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r438      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r439      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r440      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r441      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r442      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r443      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r444      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r445      | CBH_CLINICAL     | LAKE_DG_CASE_TRANS_DRVR                      | CREATE_DT_TM                   | None                | for M. Krishnasamy             
r445      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r446      | ALL              | EPOC_PROV_CNTRCT                             | CRET_TS                        | 20210712            |                                
r446      | ALL              | EPOC_PROV_CNTRCT                             | UPDT_TS                        | 20210712            |                                
r446      | ALL              | EPOC_PROV_REGRP                              | CRET_TS                        | 20210712            |                                
r446      | ALL              | EPOC_PROV_REGRP                              | UPDT_TS                        | 20210712            |                                
r446      | ALL              | EPOC_RPT_PER                                 | CRET_TS                        | 20210712            |                                
r446      | ALL              | EPOC_RPT_PER                                 | UPDT_TS                        | 20210712            |                                
r446      | ALL              | EPOC_SECRTY_CTL_LVL                          | CRET_TS                        | 20210712            |                                
r446      | ALL              | EPOC_SECRTY_CTL_LVL                          | UPDT_TS                        | 20210712            |                                
r446      | CBH_CLINICAL     | ALL                                          | ASSMT_CMPLT_TS                 | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | CARE_PLAN_STAT_EFF_TS          | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | CRET_TS                        | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | INTRVNTN_BEG_TS                | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | INTRVNTN_END_TS                | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | INTRVNTN_TRGT_TS               | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | LOAD_TS                        | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | UPDT_TS                        | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | VOID_TS                        | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | VRBL_CNSNT_TS                  | None                | for M. Krishnasamy             
r446      | CBH_CLINICAL     | ALL                                          | WRTN_CNSNT_TS                  | None                | for M. Krishnasamy             
r446      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
r447      | HCTA_DATALAKE    | ALL                                          | ALL                            | None                | None                           
