# Filename: $SCRIPT_DIR/un_re/resources/cfg_Enterprise_Naming_Standards.lst
#
# Current Cigna Standard abbreviations and alternate abbreviations.  
# Used by erwin for logical to physical name transformation.  
# This file was overhauled in 2015.  
# Abbreviations and alternates are assigned by the DMCoE.
#
# word                                                                                      | abbr               
# ----------------------------------------------------------------------------------------- | -------------------
other medical service                                                                       | OMS                
parameter master file                                                                       | PMF                
payment card industry                                                                       | PCI                
per patient per month                                                                       | PPPM               
performance guarantee                                                                       | PG                 
preexisting condition                                                                       | PC                 
prior year adjustment                                                                       | PYA                
proton-pump inhibitor                                                                       | PPI                
registered pharmacist                                                                       | RPH                
reimbursement account                                                                       | RA                 
relative byte address                                                                       | RBA                
relative file address                                                                       | RFA                
report control record                                                                       | RCR                
self organization map                                                                       | SOM                
short term disability                                                                       | STD                
specialty care option                                                                       | SCO                
specialty restriction                                                                       | SPECLTY_RESTRTN    
specialty restriction                                                                       | SPRST              
subject matter expert                                                                       | SME                
sudden cardiac arrest                                                                       | SCA                
test data remediation                                                                       | TDR                
authorization waiver                                                                        | AW                 
business to business                                                                        | B2B                
center of excellence                                                                        | COE                
claim card data base                                                                        | CCDB               
claim nurse reviewer                                                                        | CNR                
client dental option                                                                        | CDO                
composite risk score                                                                        | CRS                
consumer choice fund                                                                        | CCF                
continuation of care                                                                        | COC                
cost share reduction                                                                        | CSR                
data model validator                                                                        | DMV                
deep vein thrombosis                                                                        | DVT                
district of columbia                                                                        | DC                 
evidence of coverage                                                                        | EOC                
family medical leave                                                                        | FML                
full time year round                                                                        | FTYR               
general availability                                                                        | GA                 
health care programs                                                                        | HCP                
healthcare economics                                                                        | HCE                
individual stop loss                                                                        | ISL                
intensive outpatient                                                                        | IOP                
job control language                                                                        | JCL                
long term disability                                                                        | LTD                
manual medical index                                                                        | MMI                
manual rate increase                                                                        | MRI                
margins and interest                                                                        | MI                 
medical test lexicon                                                                        | MED_TST_LXCN       
new drug application                                                                        | NDAPPL             
non sufficient funds                                                                        | NSF                
outpatient code edit                                                                        | OCE                
per member per month                                                                        | PMPM               
policy year to month                                                                        | PYTM               
preadmission testing                                                                        | PAT                
preferred brand drub                                                                        | PB                 
pregnancy age factor                                                                        | PAF                
present on admission                                                                        | POA                
rebate point of sale                                                                        | RPOS               
request for proposal                                                                        | RFP                
supplemental benefit                                                                        | SUP_BEN            
table control record                                                                        | TCR                
terminal call detail                                                                        | TCD                
underwriter division                                                                        | UDIV               
unifying data design                                                                        | UDD                
workers compensation                                                                        | WC                 
account policy code                                                                         | ACCT_POL_CD        
account policy code                                                                         | APCD               
accounts receivable                                                                         | AR                 
active life reserve                                                                         | ALR                
acute renal failure                                                                         | ARF                
aggregate stop loss                                                                         | ASL                
all patient refined                                                                         | APR                
ancillary step down                                                                         | A1K                
broker advisory fee                                                                         | BAF                
business capability                                                                         | BC                 
chattanooga gateway                                                                         | CGWY               
cigna dental access                                                                         | CDA                
cigna dental health                                                                         | CDH                
cigna health access                                                                         | CHA                
cigna onsite health                                                                         | COH                
client defined data                                                                         | CDD                
computed tomography                                                                         | CTSCAN             
connecticut general                                                                         | CG                 
customer designated                                                                         | CUSTDESGT          
customer designated                                                                         | CUST               
data control report                                                                         | DCR                
diagnostic xray lab                                                                         | DXL                
dispense as written                                                                         | DISPNS_AS_WRTN     
dispense as written                                                                         | DAW                
division team clerk                                                                         | DTC                
episode of coverage                                                                         | EOCV               
essential necessary                                                                         | EN                 
express scripts inc                                                                         | ESI                
federal upper limit                                                                         | FED_UPPR_LMT       
federal upper limit                                                                         | FEDUL              
generic code number                                                                         | GCN                
global address list                                                                         | GAL                
global step therapy                                                                         | GST                
health and wellness                                                                         | HW                 
health related item                                                                         | HRI                
healthcare activity                                                                         | HCA                
high risk maternity                                                                         | HRM                
high tech radiology                                                                         | HTR                
internally assigned                                                                         | INTRNLASGN         
interquartile range                                                                         | IQR                
letter of agreement                                                                         | LOA                
manual rate testing                                                                         | MRT                
metacarpophalangeal                                                                         | MP                 
most likely to sell                                                                         | MLS                
policy year to date                                                                         | PYTD               
preceding 12 months                                                                         | P12M               
pretreatment review                                                                         | PTR                
prior authorization                                                                         | PA                 
prior calendar year                                                                         | PCY                
question and answer                                                                         | QNA                
relative value unit                                                                         | RVU                
risk bearing entity                                                                         | RBE                
severity of illness                                                                         | SOI                
summary of coverage                                                                         | SOC                
system control file                                                                         | SCF                
third party carrier                                                                         | TPC                
unit of measurement                                                                         | UM                 
usual and customary                                                                         | UC                 
virtual credit card                                                                         | VCC                
accumulated census                                                                          | AC                 
active server page                                                                          | ASP                
average sale price                                                                          | ASP                
bacteriuria screen                                                                          | BACT               
central hipaa unit                                                                          | CHI                
cigna care network                                                                          | CCN                
cigna organization                                                                          | CIG_ORG            
claim cost control                                                                          | CCC                
closed policy year                                                                          | CPY                
configuration item                                                                          | CI                 
critcal care index                                                                          | CCI                
data action report                                                                          | DAR                
data extract layer                                                                          | DEXL               
date service began                                                                          | DSB                
disease management                                                                          | DM                 
distinguished name                                                                          | DN                 
dun and bradstreet                                                                          | DAB                
electronic profile                                                                          | EPRO               
episode risk group                                                                          | ERG                
extension benefits                                                                          | EB                 
federal income tax                                                                          | FIT                
field claim office                                                                          | FCO                
health action plan                                                                          | HAP                
health care center                                                                          | HCC                
local area network                                                                          | LAN                
low income subsidy                                                                          | LIS                
management outcome                                                                          | MGTOC              
match data profile                                                                          | MTCHDP             
medical management                                                                          | MED_MGMNT          
medical management                                                                          | MEDMGT             
medicare advantage                                                                          | MA                 
medicare code edit                                                                          | MCE                
microsoft exchange                                                                          | MSEX               
minimum loss ratio                                                                          | MLR                
national drug code                                                                          | NDC                
net daily activity                                                                          | NDA                
net promoter score                                                                          | NTPRSCR            
network access fee                                                                          | NAF                
no filing required                                                                          | NFR                
non formulary drug                                                                          | NFD                
normalized premium                                                                          | NP                 
patient identifier                                                                          | PID                
pension supplement                                                                          | PS                 
place of treatment                                                                          | POT                
pre postnatal care                                                                          | PPNC               
prior renewal date                                                                          | PRD                
reversal submitted                                                                          | REVSBMT            
salesforce dot com                                                                          | SFDC               
single nurse model                                                                          | SNMD               
sodium serum level                                                                          | SSL                
standard deviation                                                                          | STDEV              
subscriber account                                                                          | SUBSCRBR_ACCT      
subscriber account                                                                          | SUBACCT            
system integration                                                                          | SI                 
third party vendor                                                                          | TPV                
total medical cost                                                                          | TMC                
tri state assessed                                                                          | TSA                
true out of pocket                                                                          | TROOP              
unclassified drugs                                                                          | DGS                
urgent care center                                                                          | UCC                
utilization review                                                                          | UR                 
alternate benefit                                                                           | AB                 
amount to process                                                                           | ATP                
appeal overturned                                                                           | AOT                
auto adjudication                                                                           | AA                 
benefit reduction                                                                           | BR                 
chart of accounts                                                                           | COA                
chemical abstract                                                                           | CAS                
cigna choice fund                                                                           | CCF                
cigna dental care                                                                           | CDC                
cigna health plan                                                                           | CHP                
clinical outreach                                                                           | CLO                
column definition                                                                           | COLMN_DEFN         
column definition                                                                           | COLDEF             
contract offshore                                                                           | COFF               
covered plan paid                                                                           | CPPD               
customer adoption                                                                           | CA                 
data model review                                                                           | DMR                
demand management                                                                           | DMGT               
dependent account                                                                           | DAC                
disability income                                                                           | DI                 
doctor attendance                                                                           | DA                 
doing business as                                                                           | DBA                
drug list manager                                                                           | DLM                
epidemic and risk                                                                           | E_R                
extra contractual                                                                           | EXTC               
extra terratorial                                                                           | ET                 
funding source id                                                                           | FSI                
health assessment                                                                           | HA                 
health assessment                                                                           | HLTH_ASSMT         
institutionalized                                                                           | INSTTN             
internet protocol                                                                           | IP                 
investment income                                                                           | INVEST_INC         
investment income                                                                           | II                 
last renewal date                                                                           | LRD                
materialized view                                                                           | MV                 
medicare severity                                                                           | MS                 
misrepresentation                                                                           | MISREP             
performance index                                                                           | PI                 
personal computer                                                                           | PC                 
post adjudication                                                                           | PADJUD             
prior policy year                                                                           | PPY                
product selection                                                                           | PRODSEL            
projected portion                                                                           | PP                 
quality assurance                                                                           | QA                 
risk of mortality                                                                           | ROM                
save on specialty                                                                           | SAVONSP            
special marketing                                                                           | SPCMRK             
telecommunication                                                                           | TELECOMMUNICATION  
telecommunication                                                                           | TELECOM            
therapeutic class                                                                           | TC                 
your health first                                                                           | YHF                
american express                                                                            | AMEX               
begin book value                                                                            | BBV                
benefitter trust                                                                            | BT                 
book of business                                                                            | BOB                
case master file                                                                            | CMF                
cesarian section                                                                            | CSECT              
claim processing                                                                            | CLMP               
combined premium                                                                            | CPREM              
contraindication                                                                            | CONTRATN           
extraterritorial                                                                            | EXTRATERRL         
follow up needed                                                                            | FUN                
home health care                                                                            | HHC                
hourly part time                                                                            | HPT                
lifetime benefit                                                                            | LIFTMBEN           
line of business                                                                            | LOB                
local contractor                                                                            | CLOC               
medical director                                                                            | MD                 
medical provider                                                                            | MP                 
non catastrophic                                                                            | NONCAT             
open access plan                                                                            | OAP                
open policy year                                                                            | OPY                
perforation rate                                                                            | PERFGIRT           
place of service                                                                            | POS                
point of service                                                                            | POS                
preauthorization                                                                            | PREAUTHZN          
precertification                                                                            | PRECERT            
precertification                                                                            | PRCF               
prior data store                                                                            | PDS                
reclassification                                                                            | RECLSFTN           
return on equity                                                                            | ROE                
settlement month                                                                            | SM                 
special provider                                                                            | SP                 
stored procedure                                                                            | STRPROC            
submitted claims                                                                            | SUBMTDCLMS         
table definition                                                                            | TBL_DEFN           
table definition                                                                            | TBLDEF             
telephone trends                                                                            | TELTRND            
toll free number                                                                            | TFN                
transfer control                                                                            | XCTL               
weekly indemnity                                                                            | WKLYNDMNTY         
work in progress                                                                            | WIP                
acknowledgement                                                                             | ACKNLMNT           
after call work                                                                             | ACW                
benefit analyst                                                                             | BA                 
care management                                                                             | CARE_MGMNT         
care management                                                                             | CM                 
case management                                                                             | CSM                
case processing                                                                             | CP                 
characteristics                                                                             | CHARS              
claim work file                                                                             | CWF                
client database                                                                             | CDB                
commercializing                                                                             | COMMRCLZ           
confidentiality                                                                             | CNFINTLY           
cross reference                                                                             | XREF               
dissatisfaction                                                                             | DSATSFN            
episode of care                                                                             | EPOC               
fee for service                                                                             | FFS                
first data bank                                                                             | FDB                
hospitalization                                                                             | HOSP               
human resources                                                                             | HR                 
insurance based                                                                             | INSBSD             
interchangeable                                                                             | NTRCHGBL           
limited purpose                                                                             | LP                 
los angeles hmo                                                                             | LAHMO              
mail in process                                                                             | MIP                
max pay by plan                                                                             | MPP                
minimum premium                                                                             | MP                 
monthly summary                                                                             | MSUM               
musculoskeletal                                                                             | MSK                
national system                                                                             | NS                 
ophthalmologist                                                                             | OPHTH              
overutilization                                                                             | OVRUTILZN          
paid in advance                                                                             | PIA                
pharmacological                                                                             | PHRMCO             
quality of life                                                                             | QOL                
re-verification                                                                             | RVRFN              
reauthorization                                                                             | REAUTHZN           
recertification                                                                             | RECERT             
reconsideration                                                                             | RCONSDRTN          
recredentialing                                                                             | RECRED             
refill too soon                                                                             | RTS                
savings account                                                                             | SVA                
self accounting                                                                             | SA                 
social security                                                                             | SS                 
standardization                                                                             | STDZN              
substance abuse                                                                             | SA                 
surgical center                                                                             | SURGCLCNTR         
surgical center                                                                             | SRGCLCNTR          
synchronization                                                                             | SYNC               
text management                                                                             | TM                 
transplantation                                                                             | TRNSPLNTTN         
transplantation                                                                             | TRNSPLNTN          
true group auto                                                                             | TGA                
turnaround time                                                                             | TAT                
well woman exam                                                                             | WELL_WOMAN_EXAM    
well woman exam                                                                             | WLL_WMN_EX         
word processing                                                                             | WP                 
work in process                                                                             | WIP                
working storage                                                                             | WS                 
administration                                                                              | ADMIN              
administrative                                                                              | ADMINV             
administrative                                                                              | ADMV               
authenticating                                                                              | AUTH               
authentication                                                                              | AUTHN              
benefit option                                                                              | BEN_OPT            
benefit option                                                                              | BNOP               
billed premium                                                                              | BLPREM             
blood pressure                                                                              | BP                 
book of record                                                                              | BOR                
characteristic                                                                              | CHAR               
claim division                                                                              | CLM_DIV            
claim division                                                                              | CLMDV              
classification                                                                              | CLSFTN             
classification                                                                              | CLS                
commercialized                                                                              | COMMRCLZ           
conditionality                                                                              | CONDLTY            
contraindicate                                                                              | CONTRA             
correspondence                                                                              | CORRNC             
data warehouse                                                                              | DW                 
derived master                                                                              | DM                 
directionality                                                                              | DIRCTNLTY          
distinguishing                                                                              | DSTNGSH            
e-prescription                                                                              | ERX                
emergency room                                                                              | ER                 
enterprise 360                                                                              | E360               
enterprise 360                                                                              | ENTPR360           
equity of care                                                                              | EQOC               
family benefit                                                                              | FB                 
general ledger                                                                              | GL                 
health advisor                                                                              | HA                 
healthy future                                                                              | HF                 
hyperlipidemia                                                                              | HYPLPDMIA          
identification                                                                              | ID                 
implementation                                                                              | IMPMTN             
individualized                                                                              | INDVZD             
infrastructure                                                                              | INFRSTRUC          
intensive care                                                                              | IC                 
interpretation                                                                              | NTRPRTTN           
length of stay                                                                              | LOS                
long term care                                                                              | LTC                
multiplication                                                                              | MULTN              
near real time                                                                              | NEAR REAL TIME     
operating room                                                                              | O_R                
organizational                                                                              | ORG                
organizational                                                                              | ORGZTN             
osteoarthritis                                                                              | OSTARTHR           
out of network                                                                              | OUTNT              
out of network                                                                              | OON                
payer solution                                                                              | PYSL               
pharmaceutical                                                                              | PHRM               
rebate billing                                                                              | RBTBILL            
rebate sharing                                                                              | RBTSHR             
recommendation                                                                              | RECOMTN            
recommendation                                                                              | RCMNDTN            
reconciliation                                                                              | RECON              
red green blue                                                                              | RGB                
rehabilitation                                                                              | REHAB              
reorganization                                                                              | REORGN             
reporting view                                                                              | RV                 
